initials,first_name,middle_name,last_name,herbarium_code,date_of_birth_day,date_of_birth_month,date_of_birth_year,date_of_death_day,date_of_death_month,date_of_death_year,address,email
D.B. ,Donald,Bobby,Alexander,ACH,,,,,,,,
K.K. ,Keith,Kenneth,Anderson,,12,11,2001,13,4,2010,fred st,user@intersect.org.au
S.C. ,Stephanie,Charles,Austin,,,,,,,,,
C.W. ,Craig,,Burke,,,,,,,,,
J.A. ,Jeffrey,Andrea,Cunningham,,,,,,,,,
F.C. ,Frances,Carl,Daniels,,,,,,,,,
D.F. ,Daniel,Frances,Day,,,,,,,,,
N.T. ,Norma,,Evans,,,,,,,,,
P.E. ,Pamela,Eric,Franklin,,,,,,,,,
M.C. ,Michelle,Chris,Frazier,,,,,,,,,
C.T. ,Christopher,Theresa,Gardner,ADT,1,3,1950,,,,,
D.D. ,Doris,Dorothy,Gilbert,,,,,,,,,
B.E. ,Beverly,Eugene,Gomez,MEL,,,,,,,,
M.A. ,Matthew,Andrew,Grant,,,,,,,,,
A.C. ,Anna,Christopher,Hayden,,,,,,,,,
P.L. ,Philip,Lawrence,Hayes,MQU,,,
K.E. ,Kenneth,Eric,Jones,,,,
W.S. ,Walter,,Kim,NSW,,,
N.J. ,Norma,John,Lopez,,,,
R.K. ,Roger,Katherine,Matthews,,,,
M.F. ,Marilyn,Frank,Mendoza,,,,
S.D. ,Stephanie,,Nichols,SYD,12,6,1979
D.C. ,Dennis,Christina,Ortiz,,,,
J.J. ,Julia,Joyce,Payne,UWA,,,
M.J. ,Martha,Justin,Perry,,,,
B.H. ,Bobby,Heather,Price,VPRI,,,
J.N. ,Jonathan,,Reid,,,,
L.J. ,Lois,Justin,Reido,WAC,,,
D.K. ,Denise,Kevin,Davis,,,,
R.R. ,Ruby,Ralph,Simmons,WOLL,,,
D.J. ,Douglas,Jean,Simpson,,,,
A.A. ,Angela,Arthur,Thomas
S.A. ,Sean,Adam,Wheeler
N.M. ,Nicole,Mary,Williamson
A.R. ,Anthony,Roger,Wilson
